ID,Steps to recreate,What I expect to happen,Primary Page Feedback,Status,Area,What was flagged,How addressed
31,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, scroll down to signup form input 830 into the exp date","Credit card exp should have smart input, if starts with 2+, auto prefix the 0, you can type 9->2->6, instead of having to hit backspace and then 0926",Payment,,Form,,
32,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form, click Terms or Privacy, hit back","Terms of Use and Privacy in the SUP disclosure text should open a lightbox instead of sending to the page. Once you hit back, form is blank again",Payment,,Disclosure links,,
33,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form, click contact us form, hit back","Visit our contact us form in the SUP disclosure text should open up a new tab instead of taking current tab to the new page. Once you hit back, form is blank again.",Payment,,Disclosure links,,
34,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form",Need ability to not show/require checkbox for SUP disclosure. Show/require should be on default shN but not on affiliate shN,Payment,,Disclosure links,,
35,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, to go bottom of the SUP","Signup button text to say ""I AGREE. VIEW REPORT NOW!"" better compliance that they are agreeing to terms above",Payment,,Form,,
36,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, to go bottom of the SUP","Link at bottom of page that says ""I'll upgrade later -- go to my dashboard"". Not sure what that is supposed to do",Payment,,Form,,
37,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in everything EXCEPT Zip Code and then try to signup",Billing error fields should put red border around signup fields that are missing. For instance Zip Code,Payment,,Form,,
38,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in everything and successfully signup. Because next page is so much shorter than payment page, All I see is footer after I submit.","After you signup, all I see is footer of the page. After clicking, you should anchor back to top of the page.",Payment,,Post Payment,,
39,"Signup for the site, on Thank you page, select the view report button",Report page is missing a lot of data. Look at compet,Membersite Report Page,,Report Page,,
40,"When on search page, I select phone search and then put phone number and search.",Phone search doesn't seem to work. I used (909) 663-7878,Membersite Homepage,,Search box,,
41,"When on search page, I select phone search and then put phone number and search vs put a name and search.",Name reports don't show full comprehensive report. It should have much more info than a phone report. They are two different report endpoints.,Membersite Report Page,,Report Page,,
42,"When on search page, I select Address search",Remove address search. It looks like search by City/State/Zip. I don't even know what results would look like for Los Angeles,Membersite Homepage,,Search box,,
43,"When on search page, I select name search and then ""John Smith"" in ""CA"" and search.","""John Smith"" in CA shows results not found. I'm guessing the API actually spat out too many results. It should be consistent.",Membersite SRP,,SRP,,
44,"Signup, get to a report page and download PDF",PDF has much more information than membersite report page. Also still not as much as compet.,Membersite Homepage,,Download PDF,,
45,"Signup, get to a report page and download PDF","PDF has a ""test"" disclaimer on top. ""Disclaimer : This report uses fictional data to illustrate how an www.idlookup.ai report could look. It is not a consumer report and must not be used for credit, employment, insurance or housing decisions.""",Membersite Homepage,,Download PDF,,
46,"Signup, get to the Member Homepage (dashboard)",Can Membership settings not be at the top of the Member dash/homepage? I don't think you want the Member settings right there to cancel.,Membersite Homepage,,Membership Section,,
47,"Signup, cancel, go to ""Account"" in the top menu, click on subcription and billing subtab.","When cancelled, when you go to my account page and want to ""Upgrade to Pro"" for $29.99. I'm met with a payment page that doesn't match since it is a trial. Can you change the ""Upgrade to Pro"" without the $29.99 reference?",Membersite My Account,,Subscription,,
48,"Signup, get to the Member Homepage (dashboard)","On Membersite homepage, I expected searchbox to be more prominent instead of hiding behind a button. 2 buttons to search instead of 1 now.",Membersite Homepage,,Buttons,,
49,"Signup, view your report, cancel, go to ""Account"" in the top menu, click on subcription and billing subtab and compare to dashboard","After you cancel and viewed a report, My account->Subs shows the report, but Dashboard/Homepage shows no reports",Membersite Homepage,,My Reports,,
50,"Signup, view your report, cancel, go to ""Account"" in the top menu, click on subcription, ""Subscribe to Pro"" button, fill in signup form and submit","Try to reactivate to ""Pro"" and get an error ""nonMemberOnlyCommerceOffer""",Membersite Payment Page,,Form,,
51,"Search for fake name like ""Hana052826"" ""Ang052826"" from CA.",Thin match flow not supported. Default shN should say no records found. Other traffic should show Thin Match experience.,SUP?,,Form,,
52,"Do a search, get to email input. Use email ""testingreg052826c"" (NO valid [at] gmail.com","I used email ""testingreg052826c"" and still got pass the create account page. Speak with KP, but you should have minimal email validation and DNS MX record check.",Search,,Post SRP,,
53,"Do a search, get to billing input information.","Billing form fields should start out with red border (cc, exp, cvv, zip) so they look like an error. ",Payment,,Form,,
54,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, look at the credit card fields.",Zipcode is very long. You should just take 5 digits.,Payment,,Form,,
55,"Do a search, get to email input. Use email ""testingreg052826@gmail.com"", signup",When you attempt to register bad session information will look like a payment decline,Payment,,Form,,
56,"Signup, go to dashboard, view your report, cancel, go to Dashboard, no more report.","Dashboard shows reports when you active, but not when you cancelled.",Membersite Homepage,,My Reports,,
57,"Signup, go to dashboard, view your report, cancel, go to My account","Is there a way to reactivate if they are still ""cancelled""?",Membersite My Account,,Subs,,
58,"Signup, go to dashboard, view your report, go to My account and see there is no billing history",Billing history doesn't have the $1 in there,Membersite My Account,,Subs,,
59,"Signup, go to dashboard, view your report, cancel, go to Dashboard, try to search again","Cancel in trial people should still be able to use their account as it is prepaid. When you cancel, they can't search anymore today. If they are still trial, I expect to be able to search through the trial. If I am monthly billing, I also don't want to immediately lose access until the after the last payment.",Membersite Homepage,,Search after cancel,,
60,"Login to CSR, go to EITHER customers or orders and try to search",I can't search for customers in CSR App,Admin,,Customers or Orders,,
61,Go to this link with fresh session: https://dev.www.bytecrtrs.com/csr/login,"Admin is REALLY finicky. I can't go to the csr login directly by link. Unless I click through the links, I can't really get to any page directly.",Admin,,Link,,
62,"Login to admin, click on Customers, then try to refresh the page.",The only page I seem to be able to get to by link is https://dev.www.bytecrtrs.com/csr/,Admin,,All,,
63,I went to https://dev.www.idlookup.ai/,I didn't see anything related to a visitor. I don't think you are calling the events API to store a visitor to the LP,Landing Page,,Reporting,,
64,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in bad email and password,"I expected to have that write an event into the database. Ultimately I'd like every positive and negative experience logged so we can optimize. For instance failed LP search, failed email/pass entry, etc.",Search,,Reporting,,
65,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in email/password and got to the SUP. I put in bad information and tried to submit.,I expected to have the failed signup write an event into the database,SUP?,,Reporting,,
66,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in email/password and got to the SUP. I put in good information and signed up,"I expected dueTimestamp in the database to say 7 days, but claude said 30 (screenshot to the right)

When I went to sub billing page, I got this ✅ **Ready — go ahead and cancel.** (Also, that account page nicely confirms the **renewal date = 7/1/2026** — so the dev trial is ~30-day, and the ""Jun 8 / 7-day"" checkout copy was just a marketing-copy mismatch.) Capturing the floor + the current order state so I can show the before/after:",Post Payment,,Reporting,,
67,Membersite logged in user,I see a double logo on the top left of desktop. Also a broken image up there,Membersite,,Header,,
68,"Search off sales site, signup, then do a name search in member",It looks like the session rotated. Was that expected?,Membersite SRP,complete,Reporting,Yes,
69,"Membersite logged in user. Search for Jerome Ang, Los Angeles, CA","SRP says 5 of 5 results. Once I click load more users, it says 6 of 6 results. I assumed that the last number would be total number of results and each load more click will show more until it hits the max. i.e. the first time I saw it, it should have saidd 5 of 6 results.",Membersite SRP,,Results top,,
70,"Membersite logged in user. Search for Jerome Ang, Los Angeles, CA","When I clicked load more button off SRP, claude said that it was pure client side and no actual additional info was sent. Intended or not? I was thinking this was more of a scraper vulnerability question. If you return only a limited result list anyways, not a big deal.",Membersite SRP,,Reporting,,
71,"Membersite. Search off LP, re-search off SRP. Click on a result","I expected to see the actual report. Why am I seeing a ""your report is ready"" page? Seems redundant.",Membersite Post SRP,,Membersite Post SRP,,
72,Membersite. Account->Sub & billing->cancel,The Cancel sub lightbox doesn't log anything when viewed. Same with Keep Subscription didn't log an event.,Membersite My Account,,Subs and Billing->Cancel Lightbox,,
73,Login to CSR at https://dev.admin.www.bytecrtrs.com/csr and go to signup on top right,"After signup, I try to go to ""Customers"" page and it says forbidden resource. I go to ""Orders"" page and it says ""Unable to load the global order list.""",CSR,,Customer/Orders,,
74,Create user and cancel off Membersite,"1. **Cancel timestamp.** Cancel sets `commerceorders.subStatus=""canceled""` (status stays `active` = cancel-at-period-end) but does **not** bump the order's `updatedTimestamp`, and emits no tracking event. Where's the canonical cancel DATE recorded — the `revisions` audit log (via `currentRevisionId`)? We need it to bucket C0 vs C1 and for cohort churn timing.
2. **Does cancel stop the renewal charge?** After the cancel, the order's `CommerceBillingRecurScheduleEvent` (in `schedules`, due = `dueTimestamp`) stayed `status=active`. Does cancel-at-period-end suppress that charge at execution (checks `subStatus` at bill time), or should the schedule be deactivated? As-is, it looks like a canceled member could be charged at renewal — please confirm.

(screenshot to the right) testing060126@idlookup.ai",Membersite My Account,,Reporting+Billing,,
75,Signup attempt success,There was no email sent,Welcome Email,,Membersite,,
76,Attempt signup,Where does the card type info live? looks like only type and bin are in mongo.,Billing Meta,,BIN info,,
77,shN data,"Where does this info live? I'll also need shN name, partner name, channel so we can cut up the data...

1. **Level ↔ shape mapping.** Confirm: `shConId → shapecontainers` = **shN** (its desc literally says *""shN : Default IDL""*), `shColId → shapecollections` = **shL** — and **where does shM live** (`shapecomponents`?). Lock the shN/shL/shM definitions.
2. **Which tree node = campaign vs channel vs partner vs sub-publisher.** The `shapecollections` tree is `shl.root.idl → shl.master.idl → shl.partner.TODO → …`. Confirm which depth/naming maps to each business level so rollups (C W / Ch W) are correct.
3. **Make the levels queryable (the big one).** Records carry only `shColId`+`shConId` ObjectId refs today. For per-partner/per-channel §M, either **persist the resolved `shN`/`shL`/`shM`/`shNName`/`partnerName`/`channel` onto each commerce record**, or give a stable resolved view/mapping — so we don't walk the shape tree on every query.
4. **Human names for reporting.** Where will display names (shNName, partner name, channel name) live — the shape docs' `name`/`description`, or a dedicated label?
5. **Cascade: slot vs flag.** Should a DS0/cascade re-point `shColId` to the cascade slot (`shl.root.idl.cascade`), or is cascade only flagged by `transactionMeta.cascade`? (In our test it stayed on the *default* slot.) This decides whether §M9 excludes DS0 by attribution-slot or by the flag.
6. **Partner nodes are placeholders.** `shl.partner.TODO` has 0 children — partners aren't modeled in dev yet. When/how do real partner nodes get created (onboarding)? Attribution can't populate per-partner until they exist.
7. **(minor)** `commerceorders.refer` is empty — is it supposed to carry the inbound attribution params? If so, it's not populating.
8. There are no mentions of channel anywhere, or even a placeholder.",Signup Meta data,,Reporting,,
78,Attempt signup,"1) How do I make a $1 fail and then we eventually passthru without attempting the $1? When I cascaded using declineOnce-dropCvv claude said it failed $1 and then suceeded $1, but I don't think that is going to be the main attempt. It'll likely end up a DS0 and not an NDS0.
2) for $1 fail->$1 success is this attributed to partner?
3) for $1 fail->$0 passthru is this attribubted to partner?",Attribution,,Reporting,,
79,Membersite LP,"When I'm on the Membersite dashboard page, there is a run a new search button. The location field is an input box on desktop when I expected a state dropdown.",Membersite Dashboard,,Search Box,,
80,,,,,,,
