ID,Steps to recreate,What I expect to happen,Primary Page Feedback,Status,Area,What was flagged,How addressed
29,"Do a search, get to SRP, select a person, put email and password, and it is top of the SUP",Probably would get in trouble if billing disclosure is so grey on top of SUP. You likely don't even need it up there anyways. I'd remove it and leave it in the disclosure,Payment,complete,Top,,"SUP billing disclosure contrast darkened (#9ca3af→#4b5563, WCAG AA); kept as redundancy."
30,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, scroll down to signup form.",So much space between fields on mobile,Payment,complete,Form,,Mobile vertical rhythm tightened on PaymentPage at ≤480px.
31,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, scroll down to signup form input 830 into the exp date","Credit card exp should have smart input, if starts with 2+, auto prefix the 0, you can type 9->2->6, instead of having to hit backspace and then 0926",Payment,complete,Form,,formatExpiry auto-prefixes 0 for single-digit month (9→09); handles paste 926→09/26.
32,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form, click Terms or Privacy, hit back","Terms of Use and Privacy in the SUP disclosure text should open a lightbox instead of sending to the page. Once you hit back, form is blank again",Payment,complete,Disclosure links,,Terms/Privacy SUP links open in a new tab so entered payment data is not lost on back.
33,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form, click contact us form, hit back","Visit our contact us form in the SUP disclosure text should open up a new tab instead of taking current tab to the new page. Once you hit back, form is blank again.",Payment,complete,Disclosure links,,Contact-us SUP link opens in a new tab (target=_blank rel=noopener).
34,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in signup form",Need ability to not show/require checkbox for SUP disclosure. Show/require should be on default shN but not on affiliate shN,Payment,deferred,Disclosure links,,"Deferred (by design): needs a per-shN flag from BC; affiliate-vs-default consent is a compliance decision, not polish."
35,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, to go bottom of the SUP","Signup button text to say ""I AGREE. VIEW REPORT NOW!"" better compliance that they are agreeing to terms above",Payment,deferred,Form,,"Deferred (by design): owner concern it tanks conversion. Recommend A/B test (price-led vs compliance-led CTA), not a global swap."
36,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, to go bottom of the SUP","Link at bottom of page that says ""I'll upgrade later -- go to my dashboard"". Not sure what that is supposed to do",Payment,complete,Form,,"""Ill upgrade later"" link gated behind {token} — only the authenticated upgrade flow, hidden in the signup funnel."
37,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in everything EXCEPT Zip Code and then try to signup",Billing error fields should put red border around signup fields that are missing. For instance Zip Code,Payment,complete,Form,,Red border on missing billing fields (firstName/lastName/ZIP) via touched+invalid on submit.
38,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, fill in everything and successfully signup. Because next page is so much shorter than payment page, All I see is footer after I submit.","After you signup, all I see is footer of the page. After clicking, you should anchor back to top of the page.",Payment,complete,Post Payment,,window.scrollTo top after payment success — no longer lands on the footer.
39,"Signup for the site, on Thank you page, select the view report button",Report page is missing a lot of data. Look at compet,Membersite Report Page,complete,Report Page,,reportExtract parity push (criminal/financial/property/relatives). Verified live: report renders phone/email/address/relatives/associates/court/financial. Deeper depth is BC-data-bound.
40,"When on search page, I select phone search and then put phone number and search.",Phone search doesn't seem to work. I used (909) 663-7878,Membersite Homepage,complete,Search box,,createReportForPhone contextKey fix — phone search jumps to report.
41,"When on search page, I select phone search and then put phone number and search vs put a name and search.",Name reports don't show full comprehensive report. It should have much more info than a phone report. They are two different report endpoints.,Membersite Report Page,needs BC,Report Page,,Name vs phone report comprehensiveness is bounded by two different BC report endpoints / BC data depth.
42,"When on search page, I select Address search",Remove address search. It looks like search by City/State/Zip. I don't even know what results would look like for Los Angeles,Membersite Homepage,deferred,Search box,,"Deferred (by design): pull usage from tracking first — if <1% of searches use Address, remove; else rename/clarify. ThinMatchPreview/usage decision."
43,"When on search page, I select name search and then ""John Smith"" in ""CA"" and search.","""John Smith"" in CA shows results not found. I'm guessing the API actually spat out too many results. It should be consistent.",Membersite SRP,complete,SRP,,Empty-state copy reworked + removed the broken client-side filter on BC /database/search (was wiping rows). Live SRP render still BC-captcha-gated to fully confirm.
44,"Signup, get to a report page and download PDF",PDF has much more information than membersite report page. Also still not as much as compet.,Membersite Homepage,needs BC,Download PDF,,Report↔PDF parity bounded by BC report data; PDF carries more than the web report by design today.
45,"Signup, get to a report page and download PDF","PDF has a ""test"" disclaimer on top. ""Disclaimer : This report uses fictional data to illustrate how an www.idlookup.ai report could look. It is not a consumer report and must not be used for credit, employment, insurance or housing decisions.""",Membersite Homepage,needs BC,Download PDF,,"BC ask filed (docs/BC_PDF_DISCLAIMER.md) — ""fictional data"" disclaimer is BC-template; dev-only vs unconditional to confirm. Launch fallback: soft-disable PDF CTA."
46,"Signup, get to the Member Homepage (dashboard)",Can Membership settings not be at the top of the Member dash/homepage? I don't think you want the Member settings right there to cancel.,Membersite Homepage,complete,Membership Section,,SubscriptionTile relocated from top of dashboard to just above the disclosure footer.
47,"Signup, cancel, go to ""Account"" in the top menu, click on subcription and billing subtab.","When cancelled, when you go to my account page and want to ""Upgrade to Pro"" for $29.99. I'm met with a payment page that doesn't match since it is a trial. Can you change the ""Upgrade to Pro"" without the $29.99 reference?",Membersite My Account,complete,Subscription,,"Dropped ""$29.99"" suffix from Upgrade-to-Pro CTAs (price is dynamic from brand config). Verified live: no $29.99 on Account."
48,"Signup, get to the Member Homepage (dashboard)","On Membersite homepage, I expected searchbox to be more prominent instead of hiding behind a button. 2 buttons to search instead of 1 now.",Membersite Homepage,complete,Buttons,,Replaced the hidden search button with InlineNameSearch (first/last/state) on the dashboard.
49,"Signup, view your report, cancel, go to ""Account"" in the top menu, click on subcription and billing subtab and compare to dashboard","After you cancel and viewed a report, My account->Subs shows the report, but Dashboard/Homepage shows no reports",Membersite Homepage,complete,My Reports,,Dashboard and Account now show the same reports library. Verified live (5 reports both places).
50,"Signup, view your report, cancel, go to ""Account"" in the top menu, click on subcription, ""Subscribe to Pro"" button, fill in signup form and submit","Try to reactivate to ""Pro"" and get an error ""nonMemberOnlyCommerceOffer""",Membersite Payment Page,complete,Form,,"Root cause: refreshSubscription rejected cancel-at-period-end orders, forcing a re-purchase that BC rejects (nonMemberOnlyCommerceOffer). Fixed so Reactivate un-cancels (cancelSubscription flag:false) instead of re-purchasing. Verified live (no payment route)."
51,"Search for fake name like ""Hana052826"" ""Ang052826"" from CA.",Thin match flow not supported. Default shN should say no records found. Other traffic should show Thin Match experience.,SUP?,deferred,Form,,"Deferred (by design): real feature build — branch SRP zero-state on shN identity, show ThinMatchPreview (already exists) for non-default traffic."
52,"Do a search, get to email input. Use email ""testingreg052826c"" (NO valid [at] gmail.com","I used email ""testingreg052826c"" and still got pass the create account page. Speak with KP, but you should have minimal email validation and DNS MX record check.",Search,complete,Post SRP,,Strict client regex in src/utils/email.js with inline error. DNS/MX record check is a server/BC concern (cannot be done client-side).
53,"Do a search, get to billing input information.","Billing form fields should start out with red border (cc, exp, cvv, zip) so they look like an error. ",Payment,deferred,Form,,Deferred (by design): chose touch-then-error (standard UX). Always-red-by-default would dilute the real error signal wired in #37. Revisit only if owner insists.
54,"Do a search, get to SRP, select a person, put email and password, using Galaxy S5 or other small device, look at the credit card fields.",Zipcode is very long. You should just take 5 digits.,Payment,complete,Form,,ZIP capped at exactly 5 digits (maxLength=5 + /^\d{5}$/).
55,"Do a search, get to email input. Use email ""testingreg052826@gmail.com"", signup",When you attempt to register bad session information will look like a payment decline,Payment,complete,Form,,"Status-first error classifier on PaymentPage: 401/403/session→""Session expired""; 409→""Account exists""; decline words→card decline; 5xx→processing error."
56,"Signup, go to dashboard, view your report, cancel, go to Dashboard, no more report.","Dashboard shows reports when you active, but not when you cancelled.",Membersite Homepage,complete,My Reports,,"Fixed via the cancel-at-period-end cluster: cancelled-but-in-period is now operative, so the dashboard keeps showing reports. Verified live."
57,"Signup, go to dashboard, view your report, cancel, go to My account","Is there a way to reactivate if they are still ""cancelled""?",Membersite My Account,complete,Subs,,"refreshSubscription reorder (subStatus ""canceled""+future due = operative, checked before transient.canceled). Account now shows ""Access until X"" + Reactivate Subscription. Verified live."
58,"Signup, go to dashboard, view your report, go to My account and see there is no billing history",Billing history doesn't have the $1 in there,Membersite My Account,complete,Subs,Not calling BC API to get order history,"Calling apiWrapper.api.billing.getOrders();
"
59,"Signup, go to dashboard, view your report, cancel, go to Dashboard, try to search again","Cancel in trial people should still be able to use their account as it is prepaid. When you cancel, they can't search anymore today. If they are still trial, I expect to be able to search through the trial. If I am monthly billing, I also don't want to immediately lose access until the after the last payment.",Membersite Homepage,complete,Search after cancel,,"Same cluster fix: cancel-at-period-end keeps isPaid true through dueTimestamp, so trial/period users retain search + access until period end. Verified live."
60,"Login to CSR, go to EITHER customers or orders and try to search",I can't search for customers in CSR App,Admin,complete,Customers or Orders,,Verified live in CSR: customer directory loads and email/phone/ZIP/last4 search returns results.
61,Go to this link with fresh session: https://dev.www.bytecrtrs.com/csr/login,"Admin is REALLY finicky. I can't go to the csr login directly by link. Unless I click through the links, I can't really get to any page directly.",Admin,complete,Link,,"Admin SPA catch-all now serving /csr/* — verified live: /csr/login, /csr/users, /csr/tickets all return the app (200). Was a host nginx rewrite (filed BC_ADMIN_SPA_ROUTING_404.md)."
62,"Login to admin, click on Customers, then try to refresh the page.",The only page I seem to be able to get to by link is https://dev.www.bytecrtrs.com/csr/,Admin,complete,All,,"Same catch-all fix — cold/refresh on a deep /csr route returns the app shell (200), not 404. Verified live."
63,I went to https://dev.www.idlookup.ai/,I didn't see anything related to a visitor. I don't think you are calling the events API to store a visitor to the LP,Landing Page,planned,Reporting,,To address by sending client-side events via apiWrapper tracking (visitor LP view). Batched with #64/#65/#72.
64,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in bad email and password,"I expected to have that write an event into the database. Ultimately I'd like every positive and negative experience logged so we can optimize. For instance failed LP search, failed email/pass entry, etc.",Search,planned,Reporting,"We need to send tracking based on user behavior from client
use tracking from apiWrapper",To address via apiWrapper client-side tracking — log failed LP search / failed email-pass entry. Batched with #63/#65/#72.
65,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in email/password and got to the SUP. I put in bad information and tried to submit.,I expected to have the failed signup write an event into the database,SUP?,planned,Reporting,,To address via apiWrapper client-side tracking — log failed signup attempt. Batched with #63/#64/#72.
66,I went to https://dev.www.idlookup.ai/ I then did a search and selected a person. I put in email/password and got to the SUP. I put in good information and signed up,"I expected dueTimestamp in the database to say 7 days, but claude said 30 (screenshot to the right)

When I went to sub billing page, I got this ✅ **Ready — go ahead and cancel.** (Also, that account page nicely confirms the **renewal date = 7/1/2026** — so the dev trial is ~30-day, and the ""Jun 8 / 7-day"" checkout copy was just a marketing-copy mismatch.) Capturing the floor + the current order state so I can show the before/after:",Post Payment,complete,Reporting,fixed 7 day trial,
67,Membersite logged in user,I see a double logo on the top left of desktop. Also a broken image up there,Membersite,complete,Header,,"Root cause: brand logoAsset .png import resolved to an empty {} in the Parcel build → <img src=""[object Object]""> (broken glyph + doubled alt text). Inlined the logo as a base64 data URI (src/assets/idlookupLogo.js) + BrandLogo string-coercion. Verified live (real 512x512 logo)."
68,"Search off sales site, signup, then do a name search in member",It looks like the session rotated. Was that expected?,Membersite SRP,complete,Reporting,Yes,
69,"Membersite logged in user. Search for Jerome Ang, Los Angeles, CA","SRP says 5 of 5 results. Once I click load more users, it says 6 of 6 results. I assumed that the last number would be total number of results and each load more click will show more until it hits the max. i.e. the first time I saw it, it should have saidd 5 of 6 results.",Membersite SRP,complete,Results top,,"Member SRP now shows BCs real total (response.pagination.total via getTotalCount) instead of results.length, so ""X of N"" no longer grows on Load More. Live SRP render still BC-captcha-gated."
70,"Membersite logged in user. Search for Jerome Ang, Los Angeles, CA","When I clicked load more button off SRP, claude said that it was pure client side and no actual additional info was sent. Intended or not? I was thinking this was more of a scraper vulnerability question. If you return only a limited result list anyways, not a big deal.",Membersite SRP,,Reporting,"Intended, we need to send tracking from client side",
71,"Membersite. Search off LP, re-search off SRP. Click on a result","I expected to see the actual report. Why am I seeing a ""your report is ready"" page? Seems redundant.",Membersite Post SRP,complete,Membersite Post SRP,,"Verified live: clicking a member report goes directly to /people/:id — no ""report is ready"" interstitial."
72,Membersite. Account->Sub & billing->cancel,The Cancel sub lightbox doesn't log anything when viewed. Same with Keep Subscription didn't log an event.,Membersite My Account,planned,Subs and Billing->Cancel Lightbox,,Cancel/Keep lightbox renders; event logging to be added via apiWrapper client-side tracking (with #63/#64/#65).
73,Login to CSR at https://dev.admin.www.bytecrtrs.com/csr and go to signup on top right,"After signup, I try to go to ""Customers"" page and it says forbidden resource. I go to ""Orders"" page and it says ""Unable to load the global order list.""",CSR,needs BC,Customer/Orders,,Not reproduced for an established admin (Customers/Orders load fine). Specific to a freshly-provisioned CSR — BC role/permissions on new CSR signup.
74,Create user and cancel off Membersite,"1. **Cancel timestamp.** Cancel sets `commerceorders.subStatus=""canceled""` (status stays `active` = cancel-at-period-end) but does **not** bump the order's `updatedTimestamp`, and emits no tracking event. Where's the canonical cancel DATE recorded — the `revisions` audit log (via `currentRevisionId`)? We need it to bucket C0 vs C1 and for cohort churn timing.
2. **Does cancel stop the renewal charge?** After the cancel, the order's `CommerceBillingRecurScheduleEvent` (in `schedules`, due = `dueTimestamp`) stayed `status=active`. Does cancel-at-period-end suppress that charge at execution (checks `subStatus` at bill time), or should the schedule be deactivated? As-is, it looks like a canceled member could be charged at renewal — please confirm.

(screenshot to the right) testing060126@idlookup.ai",Membersite My Account,needs BC,Reporting+Billing,,"BC: (1) where is the canonical cancel DATE recorded (revisions audit log?); (2) does cancel-at-period-end suppress the renewal charge, or could a canceled member be billed at renewal? CRITICAL — confirm before any cohort renews."
75,Signup attempt success,There was no email sent,Welcome Email,needs BC,Membersite,,Duplicate of #21 — BC must send the welcome email on signup.
76,Attempt signup,Where does the card type info live? looks like only type and bin are in mongo.,Billing Meta,needs BC,BIN info,,BC data-location question: where do card type / BIN live (only type+bin observed in Mongo).
77,shN data,"Where does this info live? I'll also need shN name, partner name, channel so we can cut up the data...

1. **Level ↔ shape mapping.** Confirm: `shConId → shapecontainers` = **shN** (its desc literally says *""shN : Default IDL""*), `shColId → shapecollections` = **shL** — and **where does shM live** (`shapecomponents`?). Lock the shN/shL/shM definitions.
2. **Which tree node = campaign vs channel vs partner vs sub-publisher.** The `shapecollections` tree is `shl.root.idl → shl.master.idl → shl.partner.TODO → …`. Confirm which depth/naming maps to each business level so rollups (C W / Ch W) are correct.
3. **Make the levels queryable (the big one).** Records carry only `shColId`+`shConId` ObjectId refs today. For per-partner/per-channel §M, either **persist the resolved `shN`/`shL`/`shM`/`shNName`/`partnerName`/`channel` onto each commerce record**, or give a stable resolved view/mapping — so we don't walk the shape tree on every query.
4. **Human names for reporting.** Where will display names (shNName, partner name, channel name) live — the shape docs' `name`/`description`, or a dedicated label?
5. **Cascade: slot vs flag.** Should a DS0/cascade re-point `shColId` to the cascade slot (`shl.root.idl.cascade`), or is cascade only flagged by `transactionMeta.cascade`? (In our test it stayed on the *default* slot.) This decides whether §M9 excludes DS0 by attribution-slot or by the flag.
6. **Partner nodes are placeholders.** `shl.partner.TODO` has 0 children — partners aren't modeled in dev yet. When/how do real partner nodes get created (onboarding)? Attribution can't populate per-partner until they exist.
7. **(minor)** `commerceorders.refer` is empty — is it supposed to carry the inbound attribution params? If so, it's not populating.
8. There are no mentions of channel anywhere, or even a placeholder.",Signup Meta data,needs BC,Reporting,,BC reporting: shN/shL/shM mapping + make levels queryable (persist resolved shN/shL/partner/channel per commerce record). 8 sub-questions filed.
78,Attempt signup,"1) How do I make a $1 fail and then we eventually passthru without attempting the $1? When I cascaded using declineOnce-dropCvv claude said it failed $1 and then suceeded $1, but I don't think that is going to be the main attempt. It'll likely end up a DS0 and not an NDS0.
2) for $1 fail->$1 success is this attributed to partner?
3) for $1 fail->$0 passthru is this attribubted to partner?",Attribution,complete,Reporting,fixed,
79,Membersite LP,"When I'm on the Membersite dashboard page, there is a run a new search button. The location field is an input box on desktop when I expected a state dropdown.",Membersite Dashboard,complete,Search Box,,"Dashboard inline-search state field is now a <select> (shared src/data/usStates.js, 51 states + DC). Verified live (52-option dropdown, old text input gone)."
80,"Create an account, then keep declining","Looks like it only retried for 6 times? not the full retry policy that I thought. Is there a ""suspended"" state also?",Billing,needs BC,Billing,,"BC billing question: retry/decline policy appears capped at ~6 attempts; confirm full retry policy and whether a ""suspended"" state exists."
81,Create an account with first name declineOnce-dropCvv,Looks like Cascade with $0 success doesn't work anymore,Signup,needs BC,First Name,,BC billing/cascade question: declineOnce-dropCvv $0 passthru success appears broken — confirm BC cascade behavior.
82,"Create an account with first name declineOnce-dropCvv. When it fails, change first name and try again","When I tried to signup successfully after the Cascade attempt above, it failed with status 406",Signup,needs BC,First Name,,BC billing/session question: signup after a prior cascade attempt fails with HTTP 406 — confirm BC session/order handling.
